OBJECTID;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
236917;5;3;15;0;2019;3;9;3;3;1;5;0;1;1;0;0;0;0;356008,9267;5642889,736;6,951402807;50,91966244;0
236967;5;3;15;0;2019;3;8;2;3;5;3;0;1;1;0;0;0;0;362329,954;5648025,119;7,039335094;50,96735854;0
236968;5;3;15;0;2019;3;21;2;3;5;2;2;1;1;0;0;0;0;364782,634;5648846,699;7,073938811;50,97532341;1
236969;5;3;15;0;2019;3;16;2;3;5;3;0;1;0;0;0;0;0;354915,3479;5646065,765;6,934590585;50,94793071;1
236970;5;3;15;0;2019;3;15;2;3;5;2;0;0;1;0;1;0;0;357777,4198;5641474,058;6,977098555;50,90737831;0
236971;5;3;15;0;2019;3;14;2;3;5;3;0;1;1;0;0;0;0;353858,3127;5642735,998;6,920888453;50,91774017;1
236972;5;3;15;0;2019;3;8;2;3;5;3;0;1;1;0;0;0;0;355338,4911;5645904,321;6,940674372;50,9465862;1
237028;5;3;15;0;2019;3;7;1;3;0;7;0;1;0;0;0;0;0;353698,0232;5645977,322;6,917308606;50,94682825;1
237029;5;3;15;0;2019;3;9;1;3;0;1;0;1;0;0;0;0;0;354895,8517;5644232,568;6,935043364;50,93145134;1
237056;5;3;15;0;2019;3;17;7;3;1;6;0;0;1;0;0;0;0;359505,7388;5644763,482;7,000397927;50,93736404;0
237057;5;3;15;0;2019;3;20;7;3;5;3;2;0;1;1;1;0;0;357738,0138;5644913,507;6,975196678;50,93827893;0
